library name,text,rodata,data,bss,code,flash,ram
..\..\prebuilts\win32\gcc-arm-none-eabi\lib\gcc\arm-none-eabi\7.2.1\thumb\v7-ar\fpv3\hard\libgcc.a,2860,0,0,0,2860,2860,0
lib\libapploader.a,764,7217,4,16,7981,7985,20
libappstart.a,1480,436,0,27,1916,1916,27
lib\libatr.a,12768,22477,0,18856,35245,35245,18856
lib\libatr_core1.a,4868,214,0,12,5082,5082,12
lib\libatr_core2.a,5190,2234,0,12,7424,7424,12
lib\libats.a,93942,48609,81,9723,142551,142632,9804
lib\libaudio.a,9832,1967,0,1216,11799,11799,1216
lib\libaudio_core.a,136240,94589,0,0,230829,230829,0
lib\libbdev.a,698,0,0,0,698,698,0
lib\libbdev_core.a,2878,20,0,0,2898,2898,0
lib\libblueu_core.a,181136,37272,1733,3669,218408,220141,5402
lib\libboot_ex_ql_pin.a,0,1,152,1,1,153,153
lib\libboot_ex_spi6nor.a,1144,308,114,30,1452,1566,144
lib\libbt_app.a,242482,2828,36,9623,245310,245346,9659
lib\libbt_nv.a,64,0,0,0,64,64,0
lib\libcalclib.a,2708,1615,0,0,4323,4323,0
lib\libcfw.a,1364,8906,0,4,10270,10270,4
lib\libcfw_core.a,23484,359,4,37218,23843,23847,37222
lib\libdiag.a,3768,593,0,524,4361,4361,524
lib\libdriver_camera.a,5708,2625,257,89,8333,8590,346
lib\libdriver_charge.a,3572,1338,46,260,4910,4956,306
lib\libdriver_core.a,7186,91,8,4556,7277,7285,4564
lib\libdriver_lcd.a,4336,1495,82,3,5831,5913,85
lib\libfatfs.a,4266,1016,116,16,5282,5398,132
lib\libfatfs_core.a,11464,410,0,18,11874,11874,18
lib\libfs.a,4908,389,192,136,5297,5489,328
lib\libfs_partinfo.a,368,0,0,0,368,368,0
lib\libfsmount.a,1272,38,1,8,1310,1311,9
lib\libfupdate_core.a,1832,48,12,0,1880,1892,12
lib\libhal_prop.a,52,0,448,0,52,500,448
lib\liblwip.a,118002,20984,28,56294,138986,139014,56322
lib\libmal.a,616,57,0,4,673,673,4
lib\libmbedtls.a,160464,66968,91,9398,227432,227523,9489
lib\libml.a,1556,16220,144,4,17776,17920,148
lib\libnanopb.a,5168,539,0,0,5707,5707,0
lib\libnet.a,15574,3081,90,12236,18655,18745,12326
lib\libnvm.a,1500,1311,0,0,2811,2811,0
lib\liboql_core_drv.a,620,1511,372,0,2131,2503,372
lib\liboql_core_virt_func.a,358,0,0,0,358,358,0
lib\libosi_core.a,6496,7,0,125,6503,6503,125
lib\libql_open_at.a,284,202,0,0,486,486,0
lib\libql_spi4_nor_prop.a,24,0,128,0,24,152,128
lib\librpc_core.a,2652,20515,0,4,23167,23167,4
lib\libservice.a,28988,3265,4,8812,32253,32257,8816
lib\libsffs_core.a,10738,36,0,0,10774,10774,0
